Films,Year,Oscars,Nominations
Jet Carrier,1955,0,2
Jezebel,1939,2,5
Jim Dine: A Self-Portrait on the Walls,1996,0,1
Jimmy Neutron: Boy Genius,2002,0,1
Jimmy the C,1978,0,1
Joan of Arc,1949,2,7
Joan of Paris,1943,0,1
Joanna,2015,0,1
Job's Revolt,1984,0,1
Joe,1971,0,1
Joe's Violin,2017,0,1
Johann Mouse,1953,1,1
John Henry and the Inky Poo,1947,0,1
John Muir's High Sierra,1975,0,1
Johnny Belinda,1949,1,12
Johnny Come Lately,1944,0,1
Johnny Doughboy,1943,0,1
Johnny Eager,1943,1,1
Johnny Flynton,2003,0,1
Jolly Little Elves,1935,0,1
Jolly Roger,1999,0,1
Jolson Sings Again,1950,0,3
Jonathan Livingston Seagull,1974,0,2
Journey for Survival,1982,0,1
Journey into Life: The World of the Unborn,1991,0,1
Journey into Medicine,1948,0,1
Journey into Self,1969,1,1
Journey into Spring,1959,0,2
Journey of Hope,1991,1,1
Journey to the Center of the Earth,1960,0,3
Journey to the Outer Limits,1974,0,1
Joy,2016,0,1
Joy of Living,1954,0,1
Ju Dou,1991,0,1
Juarez,1940,0,1
Judgment at Nuremberg,1962,2,11
Juke Box Jamboree,1943,0,1
Julia,1978,3,11
Julie,1957,0,2
Julie & Julia,2010,0,1
Juliet of the Spirits,1967,0,2
Julius Caesar,1954,1,5
Junebug,2006,0,1
Jungle Book,1943,0,4
Junior,1995,0,1
Juno,2008,1,4
Jurassic Park,1994,3,3
Just Another Missing Kid,1983,1,1
Just Imagine,1932,0,1
Just for You,1953,0,1
K-Z,1973,0,1
Kagemusha (The Shadow Warrior),1981,0,2
Kahl,1962,0,1
Kama Sutra Rides Again,1973,0,1
Kangaroo Court,1995,0,1
Kapo,1961,0,1
Karama Has No Walls,2014,0,1
Karl Hess: Toward Liberty,1981,1,1
Kate & Leopold,2002,0,1
Katyn,2008,0,1
Kavi,2010,0,1
Keats and His Nightingale: A Blind Date,1986,0,1
Keeper of Promises (The Given Word),1963,0,1
Kenji Comes Home,1950,0,1
Kenojuak,1965,0,1
Kentucky,1939,1,1
Key Largo,1949,1,1
Khartoum,1967,0,1
Khovanshchina,1962,0,1
Kick Me,1976,0,1
Killing Joe,2000,0,1
Killing in the Name,2011,0,1
Kind Lady,1952,0,1
King Gimp,2000,1,1
King Kong,2006,3,6
King Rat,1966,0,2
King Solomon's Mines,1951,2,3
King of Burlesque,1936,0,2
King of Jazz,1931,1,1
King of the Zombies,1942,0,1
King: A Filmed Record...Montgomery to Memphis,1971,0,1
Kings Point,2013,0,1
Kings Row,1943,0,3
Kings of the Turf,1942,0,1
Kinsey,2005,0,1
Kismet,1945,0,4
Kiss Me Kate,1954,0,1
Kiss of Death,1948,0,2
Kiss of the Spider Woman,1986,1,4
Kisses for My President,1965,0,1
Kitty,1947,0,1
Kitty Foyle,1941,1,5
Kleingeld (Small Change),2000,0,1
Klondike Fury,1943,0,1
Klute,1972,1,2
Knickerbocker Holiday,1945,0,1
Knife Skills,2018,0,1
Knife in the Water,1964,0,1
Knights of the Round Table,1954,0,2
Knighty Knight Bugs,1959,1,1
Knock on Wood,1955,0,1
Kokoda Front Line!,1943,0,1
Kolya,1997,1,1
Kon-Tiki,['1952' '2013'],1,2
Kong: Skull Island,2018,0,1
Koryo Celadon,1980,0,1
Kotch,1972,0,4
Krakatoa,1934,1,1
"Krakatoa, East of Java",1970,0,1
Kramer vs. Kramer,1980,5,9
Kubo and the Two Strings,2017,0,2
Kudzu,1977,0,1
Kundun,1998,0,4
Kung Fu Panda,2009,0,1
Kung Fu Panda 2,2012,0,1
Kwaidan,1966,0,1
L'Invitation,1974,0,1
L'Uomo in Grigio (The Man in Gray),1962,0,1
L.A. Confidential,1998,2,9
La Cage aux Folles,1980,0,3
La Carte Postale (The Postcard),1999,0,1
La Corona (The Crown),2008,0,1
La Cucaracha,1935,1,1
La Dolce Vita,1962,1,4
La Femme et le TGV,2017,0,1
La Fiesta de Santa Barbara,1937,0,1
La Grande Olimpiade (Olympic Games 1960),1962,0,1
La Guerre Est Finie,1968,0,1
La La Land,2017,5,12
La Luna,2012,0,1
La Maison en Petits Cubes,2009,1,1
La Ronde,1952,0,2
La Salla,1997,0,1
La Strada,1957,1,2
La Traviata,1983,0,2
La Venganza,1959,0,1
La Vie en Rose,2008,2,3
La Vieille Dame et les Pigeons (The Old Lady and the Pigeons),1998,0,1
La Vérité ,1961,0,1
LaLee's Kin: The Legacy of Cotton,2002,0,1
"Lacombe, Lucien",1975,0,1
Ladies in Retirement,1942,0,2
Lady Be Good,1942,1,1
Lady Bird,2018,0,5
Lady Sings the Blues,1973,0,5
Lady and Gent,1933,0,1
Lady for a Day,1934,0,4
Lady in the Dark,1945,0,3
Lady of Burlesque,1944,0,1
Lady on a Train,1946,0,1
"Lady, Let's Dance",1945,0,2
Ladyhawke,1986,0,2
Lagaan,2002,0,1
"Lambert, the Sheepish Lion",1952,0,1
Land of Mine,2017,0,1
Land of Promise,1976,0,1
Language Says It All,1988,0,1
Lars and the Real Girl,2008,0,1
Las Madres -- The Mothers of Plaza de Mayo,1986,0,1
Las Vegas Nights,1942,0,1
Lassie Come Home,1944,0,1
Last Breeze of Summer,1992,0,1
Last Day of Freedom,2016,0,1
Last Days in Vietnam,2015,0,1
Last Men in Aleppo,2018,0,1
Last Summer,1970,0,1
Last Tango in Paris,1974,0,2
Last Year at Marienbad,1963,0,1
Late Afternoon,2019,0,1
Laughter,1932,0,1
Laura,1945,1,5
Lavatory - Lovestory,2009,0,1
Lawrence of Arabia,1963,7,10
Le Bal,1984,0,1
Le Ciel et la Boue (Sky Above and Mud Beneath),1962,1,1
Le Maillon et la Chaine (The Link and the Chain),1964,0,1
Le Mozart des Pickpockets (The Mozart of Pickpockets),2008,1,1
Le Plaisir,1955,0,1
Le Volcan Interdit (The Forbidden Volcano),1967,0,1
Leave Her to Heaven,1946,1,4
Leaving Las Vegas,1996,1,4
Legacy,2001,0,1
Legend,1987,0,1
Legends of the Fall,1995,1,3
Leisure,1977,1,1
Lemony Snicket's A Series of Unfortunate Events,2005,1,4
Lend a Paw,1942,1,1
Lenny,1975,0,6
Lenny Bruce: Swear to Tell the Truth,1999,0,1
Leo Beuerman,1970,0,1
Les Girls,1958,1,3
Les Mis_rables,2013,2,5
Les Miserables,1936,0,4
Les Misérables,2013,1,3
Let It Be,1971,1,1
Let My People Go,1966,0,1
Let's Get Lost,1989,0,1
Let's Make Love,1961,0,1
Let's Pollute,2011,0,1
Lethal Weapon,1988,0,1
Lethal Weapon 2,1990,0,1
Letter from Home,1942,0,1
Letter to a Hero,1944,0,1
Letters from Iwo Jima,2007,1,4
Letters from Marusia,1976,0,1
Leviathan,2015,0,1
Li'l Abner,1960,0,1
Libel!,1960,0,1
Libeled Lady,1937,0,1
Liberators: Fighting on Two Fronts in World War II,1993,0,1
Library of Congress,1946,0,1
Lieberman in Love,1996,1,1
Lies My Father Told Me,1976,0,1
Life,2000,0,1
Life Is Beautiful,1999,3,7
Life Times Nine,1974,0,1
Life at the Zoo,1947,0,1
Life of Pi,2013,4,11
Life of a Thoroughbred,1942,0,1
Life with Father,1948,0,4
Life with Feathers,1946,0,1
"Life, Animated",2017,0,1
Lifeboat,1945,0,4
Lifted,2007,0,1
Light in the Window: The Art of Vermeer,1953,1,1
Lili,1954,1,6
Lilies of the Field,1964,1,5
Lillian Russell,1941,0,1
Lilo & Stitch,2003,0,1
Limelight,1973,1,1
Lincoln,2013,2,12
Lion,2017,0,6
Listen to Britain,1943,0,1
Little Belgium,1943,0,1
Little Big Man,1971,0,1
Little Caesar,1932,0,1
Little Children,2007,0,3
Little Dorrit,1989,0,2
Little Fugitive,1954,0,1
Little Isles of Freedom,1943,0,1
Little Johnny Jet,1953,0,1
Little Miss Sunshine,2007,2,4
Little Shop of Horrors,1987,0,2
Little Surprises,1996,0,1
Little Terrorist,2005,0,1
Little Voice,1999,0,1
Little Women,['1934' '1995'],2,8
Live and Let Die,1974,0,1
Live for Life,1968,0,1
Lloyds of London,1937,0,2
Logan,2018,0,1
Logan's Run,1977,0,2
Logorama,2010,1,1
Lolita,1963,0,1
London Can Take It,1941,0,1
Lone Star,1997,0,1
Lone Survivor,2014,0,2
Lonelyhearts,1959,0,1
Long Day's Journey into Night,1963,0,1
Long Night's Journey into Day,2001,0,1
Longtime Companion,1991,0,1
Look for the Silver Lining,1950,0,1
Looking for Mr. Goodbar,1978,0,2
Lorenzo,2005,0,1
Lorenzo's Oil,1993,0,2
Los Tarantos,1964,0,1
Lost Horizon,1938,2,7
Lost in Translation,2004,1,4
Lou,2018,0,1
Louisa,1951,0,1
Louisiana Purchase,1942,0,2
Louisiana Story,1949,0,1
Love Affair,1940,0,6
Love Field,1993,0,1
Love Is a Many-Splendored Thing,1956,3,8
Love Letters,1946,0,4
Love Me Forever,1936,0,1
Love Me or Leave Me,1956,1,6
Love Story,1971,1,7
Love Struck,1987,0,1
Love with the Proper Stranger,1964,0,5
Loveless,2018,0,1
Lover Come Back,1962,0,1
Lovers and Other Strangers,1971,1,3
Loves of a Blonde,1967,0,1
Loving,2017,0,1
Loving Vincent,2018,0,1
Ludwig,1974,0,1
Lust for Life,1957,1,4
Luther Metke at 94,1981,0,1
Luxo Jr.,1987,0,1
Lydia,1942,0,1
M*A*S*H,1971,1,5
Macario,1961,0,1
Mad Max: Fury Road,2016,6,10
Mad about Music,1939,0,4
"Madagascar, carnet de voyage (Madagascar, a Journey Diary)",2011,0,1
Madame Bovary,['1950' '1992'],0,2
Madame Curie,1944,0,7
Madame Rosa,1978,1,1
Madame Tutli-Putli,2008,0,1
Madame X,1930,0,2
Madeline,1953,0,1
Madron,1971,0,1
Maestro,2007,0,1
"Maggie Simpson in ""The Longest Daycare""",2013,0,1
Magnificent Obsession,1955,0,1
Magnolia,2000,0,3
Mahogany,1976,0,1
Main Street Today,1945,0,1
Main Street on the March!,1942,1,1
Major and Minor Miracles,2000,0,1
Make a Wish,1938,0,1
Making Overtures--The Story of a Community Orchestra,1986,0,1
Making Waves,1988,0,1
Malcolm X,1993,0,3
Maleficent,2015,0,1
Mama Turns a Hundred,1980,0,1
Man Alive!,1953,0,1
Man in Space,1957,0,1
Man of Conquest,1940,0,3
Man of Iron,1982,0,1
Man of La Mancha,1973,0,1
Man of a Thousand Faces,1958,0,1
Man on Wire,2009,1,1
Manchester by the Sea,2017,2,6
Mandela,1997,0,1
Mandela: Long Walk to Freedom,2014,0,1
Mandragola,1967,0,1
Mandy's Grandmother,1979,0,1
Manhattan,1980,0,2
Manhattan Melodrama,1935,1,1
Manhattan Merry-Go-Round,1938,0,1
Manipulation,1992,1,1
Mannequin,['1939' '1988'],0,2
Manon on the Asphalt,2009,0,1
Manson,1973,0,1
Marathon Man,1977,0,1
March of the Penguins,2006,1,1
Mardi Gras,['1944' '1959'],0,2
Margin Call,2012,0,1
Marguerite,2019,0,1
Maria Full of Grace,2005,0,1
Marie Antoinette,1939,1,5
Marie-Louise,1946,1,1
Marines in the Making,1943,0,1
Marjoe,1973,1,1
Marjorie Morningstar,1959,0,1
Marlene,1985,0,1
Marooned,1970,1,3
Marriage Italian Style,['1965' '1966'],0,2
Married to the Mob,1989,0,1
Martin Luther,1954,0,2
Marty,1956,4,8
Marvel's The Avengers,2013,0,1
Marvin's Room,1997,0,1
Mary Poppins,1965,5,13
Mary Poppins Returns,2019,0,3
Mary Queen of Scots,2019,0,2
Mary Shelley's Frankenstein,1995,0,1
"Mary, Queen of Scots",1972,0,5
Mask,1986,1,1
Master and Commander: The Far Side of the World,2004,2,10
Match Point,2006,0,1
Matewan,1988,0,1
Maurice,1988,0,1
Maverick,1995,0,1
Maya Lin: A Strong Clear Vision,1995,1,1
Maytime,1938,0,2
McCabe & Mrs. Miller,1972,0,1
Me and My Moulton,2015,0,1
Mediterraneo,1992,1,1
Meet John Doe,1942,0,1
Meet Me in Las Vegas,1957,0,1
Meet Me in St. Louis,1945,0,4
Meet the Parents,2001,0,1
Melvin and Howard,1981,2,3
Memento,2002,0,2
Memoirs of a Geisha,2006,3,6
Memorial: Letters from American Soldiers,1992,0,1
Men against the Arctic,1956,1,1
Men in Black,1998,1,4
Menu,1934,0,1
Mephisto,1982,1,1
Mercy Island,1942,0,1
Meredith Willson's The Music Man,1963,1,6
Merrily We Live,1939,0,5
Meteor,1980,0,1
Metropolitan,1991,0,1
Mexicali Shmoes,1960,0,1
Michael Clayton,2008,1,7
Michael Collins,1997,0,2
Mickey and the Seal,1949,0,1
Mickey's Christmas Carol,1984,0,1
Mickey's Orphans,1933,0,1
Midnight Cowboy,1970,3,7
Midnight Express,1979,2,6
Midnight Lace,1961,0,1
Midnight in Paris,2012,1,4
Mighty Aphrodite,1996,1,2
Mighty Joe Young,['1950' '1999'],1,2
Mighty Mouse in Gypsy Life,1946,0,1
Mighty River,2018,0,1
Mighty Times: The Children's March,2005,1,1
Mighty Times: The Legacy of Rosa Parks,2003,0,1
Mike's New Car,2003,0,1
Mildred Pierce,1946,1,6
Milk,2009,2,8
Million Dollar Baby,2005,4,7
Million Dollar Mermaid,1953,0,1
Millions of Years Ahead of Man,1976,0,1
Min and Bill,1932,1,1
Minding the Gap,2019,0,1
Minority Report,2003,0,1
Minstrel Man,1945,0,2
Miracle Fish,2010,0,1
Miracle of Fatima,1953,0,1
Miracle on 34th Street,1948,3,4
Mirai,2019,0,1
Mirror Mirror,2013,0,1
Misery,1991,1,1
Miss Sadie Thompson,1954,0,1
Missing,1983,1,4
Mission to Moscow,1944,0,1
Mississippi Burning,1989,1,7
Mister 880,1951,0,1
Mister Buddwing,1967,0,2
Mister Magoo's Puddle Jumper,1957,1,1
Mister Mugg,1934,0,1
Mister Roberts,1956,1,3
Moana,2017,0,1
Mogambo,1954,0,2
Mohammad - Messenger of God,1978,0,1
Molly's Game,2018,0,1
Molly's Pilgrim,1986,1,1
Mon Oncle D'Amerique,1981,0,1
Mona Lisa,1987,0,1
Mona Lisa Descending a Staircase,1993,1,1
Mondays at Racine,2013,0,1
Mondo Cane,1964,0,1
Moneyball,2012,0,6
Mongol,2008,0,1
Monsieur Lazhar,2012,0,1
Monsieur Pointu,1976,0,1
Monsieur Verdoux,1948,0,1
Monster,2004,1,1
Monster House,2007,0,1
Monster's Ball,2002,1,2
"Monsters, Inc.",2002,1,4
Monument to the Dream,1968,0,1
Moon Rockets,1948,0,1
Moonbird,1960,1,1
Moonlight,2017,3,8
Moonraker,1980,0,1
Moonrise,1949,0,1
Moonrise Kingdom,2013,0,1
Moonstruck,1988,3,6
Moontide,1943,0,1
More,1999,0,1
More about Nostradamus,1941,0,1
Morgan!,1967,0,2
Morituri,1966,0,2
Morning Glory,1934,1,1
Morocco,1932,0,4
Moscow Does Not Believe in Tears,1981,1,1
Moscow Moods,1937,0,1
Moscow Strikes Back,1943,0,1
Most (The Bridge),2004,0,1
Mother,2019,0,1
Mother Goose Goes Hollywood,1939,0,1
Mother India,1958,0,1
Mother Is a Freshman,1950,0,1
Mother Wore Tights,1948,1,3
Moulin Rouge,2002,4,15
Mourning Becomes Electra,1948,0,2
Mouse Trouble,1945,1,1
Mouse Wreckers,1949,0,1
Mouse and Garden,1961,0,1
Movie Pests,1945,0,1
Mr. & Mrs. Bridge,1991,0,1
Mr. Blabbermouth!,1943,0,1
Mr. Deeds Goes to Town,1937,1,5
Mr. Dodd Takes the Air,1938,0,1
Mr. Gardenia Jones,1943,0,1
Mr. Holland's Opus,1996,0,1
Mr. Hublot,2014,1,1
Mr. Hulot's Holiday,1956,0,1
Mr. Saturday Night,1993,0,1
Mr. Skeffington,1945,0,2
Mr. Smith Goes to Washington,1940,1,11
Mr. Turner,2015,0,4
Mrs. Brown,1998,0,2
Mrs. Doubtfire,1994,1,1
Mrs. Henderson Presents,2006,0,2
Mrs. Miniver,1943,6,12
Mrs. Parkington,1945,0,2
Mt. Head,2003,0,1
Mudbound,2018,0,3
Muddy River,1982,0,1
Mulan,1999,0,1
Mulholland Drive,2002,0,1
Munich,2006,0,5
Munro,1961,1,1
Mural on Our Street,1966,0,1
Murder on a Sunday Morning,2002,1,1
Murder on the Orient Express,1975,1,6
"Murder, Inc.",1961,0,1
Murderball,2006,0,1
Murmur of the Heart,1973,0,1
Murphy's Romance,1986,0,2
Music Box,1990,0,1
Music by Prudence,2010,1,1
Music for Millions,1946,0,1
Music for the Movies: Bernard Herrmann,1993,0,1
Music in Manhattan,1945,0,1
Music in My Heart,1941,0,1
Music of the Heart,2000,0,2
Mustang,2016,0,1
Mutiny on the Bounty,1936,1,15
My Architect,2004,0,1
My Beautiful Laundrette,1987,0,1
My Best Friend's Wedding,1998,0,1
My Big Fat Greek Wedding,2003,0,1
My Boy Johnny,1945,0,1
My Brilliant Career,1981,0,1
My Country 'Tis of Thee,1951,0,1
"My Country, My Country",2007,0,1
My Cousin Rachel,1953,0,4
My Cousin Vinny,1993,1,1
My Dearest Señorita,1973,0,1
My Fair Lady,1965,8,12
"My Family, Mi Familia",1996,0,1
My Favorite Wife,1941,0,3
My Favorite Year,1983,0,1
My Financial Career,1964,0,1
My Foolish Heart,1950,0,2
My Gal Sal,1943,1,2
My Geisha,1963,0,1
My Grandmother Ironed the King's Shirts,2000,0,1
My Left Foot,1990,2,5
My Life as a Dog,1988,0,2
My Life as a Zucchini,2017,0,1
My Love (Moya Lyubov),2008,0,1
My Man Godfrey,1937,0,6
My Mother Dreams the Satan's Disciples in New York,2000,1,1
My Nephew Emmett,2018,0,1
My Night at Maud's,['1970' '1971'],0,2
My Sister Eileen,1943,0,1
My Son John,1953,0,1
"My Son, My Son!",1941,0,1
My Sweet Little Village,1987,0,1
My Uncle,1959,1,1
My Week with Marilyn,2012,0,2
My Wild Irish Rose,1948,0,1
Mysteries of the Deep,1960,0,1
Mysterious Castles of Clay,1979,0,1
Mystery Of Love,2018,0,1
Mystery Street,1951,0,1
Mystic River,2004,2,6
Na Wewe,2011,0,1
Nails,1980,0,1
Naked Yoga,1975,0,1
Napoleon and Samantha,1973,0,1
Nashville,1976,1,5
National Velvet,1946,2,5
Nature's Half Acre,1952,1,1
Naughty Marietta,1936,1,2
Navajo,1953,0,2
Nebraska,2014,0,6
Negative Space,2018,0,1
Neighbours,1953,1,2
Nell,1995,0,1
Nelly's Folly,1962,0,1
Neptune's Daughter,1950,1,1
Network,1977,4,10
Never Cry Wolf,1984,0,1
Never Give Up: The 20th Century Odyssey of Herbert Zipper,1996,0,1
Never Look Away,2019,0,2
Never on Sunday,1961,1,5
New Americans,1945,0,1
New Boy,2009,0,1
Nibbles,2004,0,1
Nicholas and Alexandra,1972,2,6
Night Must Fall,1938,0,2
Night People,1955,0,1
Night Train,1942,0,1
Night and Day,1947,0,1
Nightcrawler,2015,0,1
Nightlife,1977,0,1
Nights and Days,1977,0,1
Nine,2010,0,4
Nine Lives,1958,0,1
Nine from Little Rock,1965,1,1
Nine to Five,1981,0,1
Ninotchka,1940,0,4
Nixon,1996,0,4
No,2013,0,1
No Country for Old Men,2008,4,8
No End in Sight,2008,0,1
No Hunting,1956,0,1
No Man's Land,2002,1,1
No Sad Songs for Me,1951,0,1
No Time for Love,1945,0,1
No Time for Nuts,2007,0,1
No Way Out,1951,0,1
Noah's Ark,1960,0,1
Nobody's Fool,1995,0,2
Nocturnal Animals,2017,0,1
None Shall Escape,1945,0,1
None but the Lonely Heart,1945,1,4
Norbit,2008,0,1
Norma Rae,1980,2,4
Norman Rockwell's World...An American Dream,1973,1,1
North Country,2006,0,2
North West Mounted Police,1941,1,5
North by Northwest,1960,0,3
Northwest Passage,1941,0,1
Norway in Revolt,1942,0,1
Not as a Stranger,1956,0,1
Notes on a Scandal,2007,0,4
Notes on the Popular Arts,1978,0,1
Notorious,1947,0,2
Now Hear This,1963,0,1
Now You See It,1948,0,1
"Now, Voyager",1943,1,3
Nowhere in Africa,2003,1,1
Nudnik #2,1965,0,1
Number One,1977,0,1
Number Our Days,1977,1,1
Nurse Edith Cavell,1940,0,1
"O Brother, Where Art Thou?",2001,0,2
O Quatrilho,1996,0,1
O.J.: Made in America,2017,1,1
"Objective, Burma!",1946,0,3
Obsession,1977,0,1
Odd Man Out,1948,0,1
Of Fathers and Sons,2019,0,1
Of Human Bondage,1935,0,1
Of Human Hearts,1939,0,1
Of Men and Demons,1970,0,1
Of Mice and Men,1940,0,4
Of Pups and Puzzles,1942,1,1
"Of Time, Tombs and Treasure",1978,0,1
Off the Edge,1977,0,1
"Oh Brother, My Brother",1980,0,1
Oh My Darling,1979,0,1
"Oh, God!",1978,0,1
"Oh, My Nerves",1936,0,1
Oisin,1971,0,1
Oklahoma!,1956,2,4
Oktapodi,2009,0,1
Old Mill Pond,1937,0,1
Oliver!,1969,5,11
Omar,2014,0,1
Omnibus,1993,1,1
On Any Sunday,1972,0,1
On Body and Soul,2018,0,1
On Golden Pond,1982,3,10
On Hope,1995,0,1
On Tiptoe: Gentle Steps to Freedom,2001,0,1
On the Beach,1960,0,2
On the Bowery,1958,0,1
On the Riviera,1952,0,2
On the Ropes,2000,0,1
On the Town,1950,1,1
On the Twelfth Day...,1956,0,1
On the Waterfront,1955,8,12
Once,2008,1,1
"Once More, My Darling",1950,0,1
Once upon a Honeymoon,1943,0,1
One Day Crossing,2001,0,1
One Day in September,2000,1,1
One Droopy Knight,1958,0,1
One Fine Day,1997,0,1
One Flew over the Cuckoo's Nest,1976,5,9
One Foot in Heaven,1942,0,1
One Hour with You,1933,0,1
One Hundred Men and a Girl,1938,1,5
One Man Band,2006,0,1
One Million B.C.,1941,0,2
One Night of Love,1935,2,6
"One Potato, Two Potato",1965,0,1
One Small Step,2019,0,1
One Survivor Remembers,1996,1,1
One True Thing,1999,0,1
One Way Passage,1934,1,1
One Who Came Back,1952,0,1
One from the Heart,1983,0,1
One in a Million,1937,0,1
One of Our Aircraft Is Missing,1943,0,2
"One, Two, Three",1962,0,1
One-Eyed Jacks,1962,0,1
One-Eyed Men Are Kings,1975,1,1
Only Angels Have Wings,1940,0,1
Only When I Laugh,1982,0,3
Open City,1947,0,1
Open Doors,1991,0,1
Open Heart,2013,0,1
Operation Blue Jay,1954,0,1
Operation Homecoming: Writing the Wartime Experience,2008,0,1
Operation Petticoat,1960,0,1
Operation Thunderbolt,1978,0,1
Operation Vittles,1949,0,1
Operator 13,1935,0,1
Orchestra Wives,1943,0,1
Ordinary People,1981,4,6
Orlando,1994,0,2
Oscar and Lucinda,1998,0,1
Otello,1987,0,1
Othello,1966,0,4
Other Voices,1969,0,1
Our Curse,2015,0,1
Our Dancing Daughters,1930,0,2
Our Time Is Up,2006,0,1
Our Town,1941,0,6
Our Very Own,1951,0,1
Out of Africa,1986,7,11
Out of Sight,1999,0,2
Outland,1982,0,1
Outside the Law (Hors-la-loi),2011,0,1
Ouverture,1966,0,1
"Over There, 1914-18",1965,0,1
Overnight Sensation,1984,0,1
Overture,1959,0,1
Pacific Liner,1939,0,1
Paddle to the Sea,1968,0,1
Paint Your Wagon,1970,0,1
Paisan,1950,0,1
Paix Sur Les Champs,1971,0,1
Pal Joey,1958,0,4
Pan,1963,0,1
Pan's Labyrinth,2007,3,6
Panic in the Streets,1951,1,1
Papa's Delicate Condition,1964,1,1
Paper Moon,1974,1,4
Paperman,2013,1,1
Papillon,1974,0,1
ParaNorman,2013,0,1
Paradise,1985,0,1
Paradise Lost 3: Purgatory,2012,0,1
Paradise Now,2006,0,1
Paramount News Issue #37 (Twentieth Anniversary Issue!  1927.....1947),1947,0,1
Parenthood,1990,0,2
Paris 36,2010,0,1
Paris Blues,1962,0,1
Paris--Underground,1946,0,1
Partners,1994,0,1
Parvaneh,2015,0,1
Passengers,2017,0,2
Passion Fish,1993,0,2
Passport to Nowhere,1948,0,1
Passport to Pimlico,1950,0,1
Pat and Mike,1953,0,1
Patch Adams,1999,0,1
Pathfinder,1988,0,1
Patton,1971,7,10
Paul Bunyan,1959,0,1
Paul Robeson: Tribute to an Artist,1980,1,1
Paw,1960,0,1
Peace on Earth,1940,0,1
Pear Cider and Cigarettes,2017,0,1
Pearl,2017,0,1
Pearl Harbor,2002,1,4
Peggy Sue Got Married,1987,0,3
Pelle the Conqueror,1989,1,2
Pennies from Heaven,1982,0,4
Penny Serenade,1942,0,1
Penny Wisdom,1938,1,1
Pentecost,2012,0,1
People Soup,1970,0,1
People of the Wind,1977,0,1
Pepe,1961,0,7
Period of Adjustment,1963,0,1
Period. End of Sentence.,2019,1,1
Perri,1958,0,1
Persepolis,2008,0,1
Pete 'n' Tillie,1973,0,2
Pete Kelly's Blues,1956,0,1
Pete's Dragon,1978,0,2
Peter & the Wolf,2008,1,1
Peter Ibbetson,1936,0,1
Peyton Place,1958,0,9
Phaedra,1963,0,1
Phantom Thread,2018,1,6
Phantom of the Opera,1944,2,4
Phantom of the Paradise,1975,0,1
Pharaoh,1967,0,1
Philadelphia,1994,2,5
Philomena,2014,0,4
Pianissimo,1964,0,1
Pickup on South Street,1954,0,1
Picnic,1956,2,6
Pieces of April,2004,0,1
Pieces of Dreams,1971,0,1
Pigs Is Pigs,1955,0,1
Pigs in a Polka,1943,0,1
Pigskin Parade,1937,0,1
Pillow Talk,1960,1,5
Pina,2012,0,1
Pink and Blue Blues,1953,0,1
Pinky,1950,0,3
Pinocchio,1941,2,2
Piper,2017,1,1
Pirates,1987,0,1
Pirates of the Caribbean: At World's End,2008,0,2
Pirates of the Caribbean: Dead Man's Chest,2007,1,4
Pirates of the Caribbean: The Curse of the Black Pearl,2004,0,5
Pit__k_ Mun Kaikki Hoitaa? (Do I Have to Take Care of Everything?),2014,0,1
Places in the Heart,1985,2,7
Placido,1962,0,1
Plan for Destruction,1944,0,1
Planet Ocean,1975,0,1
Planet of the Apes,1969,0,2
Platoon,1987,4,8
Pleasantville,1999,0,3
Pluto's Blue Note,1948,0,1
Plymouth Adventure,1953,1,1
Pocahontas,1996,2,2
Pocketful of Miracles,1962,0,3
Poetic Justice,1994,0,1
Point of View,1966,0,1
Pollock,2001,1,2
Poltergeist,1983,0,3
Poltergeist II: The Other Side,1987,0,1
Popular Science J-6-2,1937,0,1
Popular Science J-7-1,1938,0,1
Porgy and Bess,1960,1,4
Portia on Trial,1938,0,1
Portrait of Chieko,1968,0,1
Portrait of Imogen,1989,0,1
Portrait of Jennie,1949,1,2
Portugal,1958,0,1
Poseidon,2007,0,1
Possessed,1948,0,1
Possessions,2014,0,1
Postcards from the Edge,1991,0,2
Poster Girl,2011,0,1
Precious Images,1987,1,1
Precious: Based on the Novel 'Push' by Sapphire,2010,2,6
Predator,1988,0,1
Prelude,1969,0,1
Prelude to War,1943,0,1
Presto,2009,0,1
Pretty Baby,1979,0,1
Pretty Woman,1991,0,1
Pride & Prejudice,2006,0,4
Pride and Prejudice,1941,1,1
Pride of the Marines,1946,0,1
Primal Fear,1997,0,1
Primary Colors,1999,0,2
Primrose Path,1941,0,1
Prince of Foxes,1950,0,2
Prince of the City,1982,0,1
Princess O'Rourke,1944,1,1
Princeton: A Search for Answers,1974,1,1
Prison Terminal: The Last Days of Private Jack Hall,2014,0,1
Prisoner of Paradise,2003,0,1
Prisoner of the Mountains,1997,0,1
Prisoners,2014,0,1
Private Benjamin,1981,0,3
Private Life,1983,0,1
Private Smith of the U.S.A.,1943,0,1
Private Worlds,1936,0,1
Prizzi's Honor,1986,1,8
Probes in Space,1976,0,1
Project Hope,1962,1,1
Prologue,2016,0,1
Prometheus,2013,0,1
Promises,2002,0,1
Promises to Keep,1989,0,1
Prophet without Honor,1940,0,1
Psychiatric Nursing,1959,0,1
Psycho,1961,0,4
Pulcinella,1974,0,1
Pulp Fiction,1995,1,7
Purple Rain,1985,1,1
Puss Gets the Boot,1941,0,1
Puss in Boots,2012,0,1
Pygmalion,1939,1,4
