,id,title,budget,popularity,revenue,runtime,vote_average,vote_count,ceremony_year,Oscars,Nominations_Oscars,GoldenGlobes,Nominations_GoldenGlobes
26,271110,captain america civil war,250000000,198.37239499999998,1153304495,147.0,7.1,7241,2017.0,0.0,0.0,0.0,0.0
27,44833,battleship,209000000,64.928382,303025485,131.0,5.5,2114,2013.0,0.0,0.0,0.0,0.0
28,135397,jurassic world,150000000,418.708552,1513528810,124.0,6.5,8662,2016.0,0.0,0.0,0.0,0.0
29,37724,skyfall,200000000,93.004993,1108561013,143.0,6.9,7604,2013.0,2.0,5.0,1.0,1.0
30,558,spiderman 2,200000000,35.149586,783766341,127.0,6.7,4321,2005.0,1.0,3.0,0.0,0.0
31,68721,iron man 3,200000000,77.68208,1215439994,130.0,6.8,8806,2014.0,0.0,1.0,0.0,0.0
32,12155,alice in wonderland,200000000,78.530105,1025491110,108.0,6.4,4645,2011.0,2.0,3.0,0.0,3.0
33,36668,xmen the last stand,210000000,3.857526,459359555,104.0,6.3,3525,2007.0,0.0,0.0,0.0,0.0
34,62211,monsters university,200000000,89.186492,743559607,104.0,7.0,3528,2014.0,0.0,0.0,0.0,0.0
35,8373,transformers revenge of the fallen,150000000,21.939663,836297228,150.0,6.0,3138,2010.0,0.0,1.0,0.0,0.0
36,91314,transformers age of extinction,210000000,116.840296,1091405097,165.0,5.8,3095,2015.0,0.0,0.0,0.0,0.0
37,68728,oz the great and powerful,200000000,46.985445,491868548,130.0,5.7,3530,2014.0,0.0,0.0,0.0,0.0
38,102382,the amazing spiderman 2,200000000,89.270217,705717432,142.0,6.5,4179,2015.0,0.0,0.0,0.0,0.0
39,20526,tron legacy,170000000,73.79505,400062763,125.0,6.3,2841,2011.0,0.0,1.0,0.0,0.0
40,49013,cars 2,200000000,49.98659,559852396,106.0,5.8,2033,2012.0,0.0,0.0,0.0,1.0
41,44912,green lantern,200000000,51.872839,219851172,114.0,5.1,2487,2012.0,0.0,0.0,0.0,0.0
42,10193,toy story 3,200000000,59.99541800000001,1066969703,103.0,7.6,4597,2011.0,2.0,5.0,1.0,1.0
43,534,terminator salvation,200000000,71.862892,371353001,115.0,5.9,2463,2010.0,0.0,0.0,0.0,0.0
44,168259,furious 7,190000000,102.32221700000001,1506249360,137.0,7.3,4176,2016.0,0.0,0.0,0.0,1.0
45,72190,world war z,200000000,81.834855,531865000,116.0,6.7,5560,2014.0,0.0,0.0,0.0,0.0
46,127585,xmen days of future past,250000000,118.07869099999999,747862775,131.0,7.5,6032,2015.0,0.0,1.0,0.0,0.0
47,54138,star trek into darkness,190000000,78.29101800000001,467365246,132.0,7.4,4418,2014.0,0.0,1.0,0.0,0.0
48,81005,jack the giant slayer,195000000,43.349855,197687603,114.0,5.5,2598,2014.0,0.0,0.0,0.0,0.0
49,64682,the great gatsby,105000000,61.196070999999996,351040419,143.0,7.3,3769,2014.0,2.0,2.0,0.0,0.0
50,9543,prince of persia the sands of time,150000000,62.169881000000004,335154643,116.0,6.2,2317,2011.0,0.0,0.0,0.0,0.0
51,68726,pacific rim,180000000,56.523205000000004,407602906,131.0,6.7,4794,2014.0,0.0,0.0,0.0,0.0
52,38356,transformers dark of the moon,195000000,28.529607000000002,1123746996,154.0,6.1,3299,2012.0,0.0,3.0,0.0,0.0
53,217,indiana jones and the kingdom of the crystal skull,185000000,75.674458,786636033,122.0,5.7,2495,2009.0,0.0,0.0,0.0,0.0
54,105864,the good dinosaur,175000000,51.692953,331926147,93.0,6.6,1736,2016.0,0.0,0.0,0.0,1.0
55,62177,brave,185000000,125.114374,538983207,93.0,6.7,4641,2013.0,1.0,1.0,1.0,1.0
56,188927,star trek beyond,185000000,65.352913,343471816,122.0,6.6,2568,2017.0,0.0,1.0,0.0,0.0
57,10681,wall·e,180000000,66.390712,521311860,98.0,7.8,6296,2009.0,0.0,0.0,0.0,0.0
58,5174,rush hour 3,140000000,22.57178,258022233,91.0,6.1,783,2008.0,0.0,0.0,0.0,0.0
59,14161,2012,200000000,45.274225,769653595,158.0,5.6,4903,2010.0,0.0,0.0,0.0,0.0
60,17979,a christmas carol,200000000,39.744242,325233863,96.0,6.6,1095,2010.0,0.0,0.0,0.0,0.0
61,76757,jupiter ascending,176000003,85.36908000000001,183987723,124.0,5.2,2768,2016.0,0.0,0.0,0.0,0.0
62,258489,the legend of tarzan,180000000,42.741719,356743061,109.0,5.5,2430,2017.0,0.0,0.0,0.0,0.0
63,411,the chronicles of narnia the lion the witch and the wardrobe,180000000,67.391328,748806957,143.0,6.7,2629,2006.0,1.0,3.0,0.0,2.0
64,246655,xmen apocalypse,178000000,139.272042,543934787,144.0,6.4,4721,2017.0,0.0,0.0,0.0,0.0
65,155,the dark knight,185000000,187.322927,1004558444,152.0,8.2,12002,2009.0,2.0,8.0,1.0,1.0
66,14160,up,175000000,92.201962,735099082,96.0,7.7,6870,2010.0,2.0,5.0,2.0,2.0
67,15512,monsters vs aliens,175000000,36.167578000000006,381509870,94.0,6.0,1423,2010.0,0.0,0.0,0.0,0.0
68,1726,iron man,140000000,120.725053,585174222,126.0,7.4,8776,2009.0,0.0,2.0,0.0,0.0
69,44826,hugo,170000000,32.319043,185770160,126.0,7.0,2141,2012.0,5.0,11.0,1.0,3.0
70,8487,wild wild west,170000000,40.748915000000004,222104681,106.0,5.1,1020,2000.0,0.0,0.0,0.0,0.0
71,1735,the mummy tomb of the dragon emperor,145000000,60.034162,401128639,112.0,5.2,1387,2009.0,0.0,0.0,0.0,0.0
72,297761,suicide squad,175000000,90.23791999999999,745000000,123.0,5.9,7458,2017.0,1.0,1.0,0.0,0.0
73,2698,evan almighty,175000000,27.082182,173000000,96.0,5.3,1151,2008.0,0.0,0.0,0.0,0.0
74,137113,edge of tomorrow,178000000,79.456485,370541256,113.0,7.6,4858,2015.0,0.0,0.0,0.0,0.0
75,9804,waterworld,175000000,44.640291999999995,264218220,135.0,5.9,992,1996.0,0.0,1.0,0.0,0.0
76,14869,gi joe the rise of cobra,175000000,32.852443,302469017,118.0,5.6,1962,2010.0,0.0,0.0,0.0,0.0
77,150540,inside out,175000000,128.65596399999998,857611174,94.0,8.0,6560,2016.0,1.0,2.0,1.0,1.0
78,278927,the jungle book,175000000,94.19931600000001,966550600,106.0,6.7,2892,2017.0,1.0,1.0,0.0,0.0
79,10138,iron man 2,200000000,77.30019399999999,623933331,124.0,6.6,6849,2011.0,0.0,1.0,0.0,0.0
80,58595,snow white and the huntsman,170000000,77.178973,396600000,127.0,5.8,3118,2013.0,0.0,2.0,0.0,0.0
81,102651,maleficent,180000000,110.62064699999999,758539785,97.0,7.0,4496,2015.0,0.0,1.0,0.0,0.0
82,119450,dawn of the planet of the apes,170000000,243.79174300000003,710644566,130.0,7.3,4410,2015.0,0.0,1.0,0.0,0.0
83,79698,the lovers,27000000,2.418535,0,109.0,4.8,34,2016.0,0.0,0.0,0.0,0.0
84,64686,47 ronin,175000000,41.796339,150962475,119.0,5.9,1326,2014.0,0.0,0.0,0.0,0.0
85,100402,captain america the winter soldier,170000000,72.22526500000001,714766572,136.0,7.6,5764,2015.0,0.0,1.0,0.0,0.0
86,10192,shrek forever after,165000000,44.041185999999996,752600867,93.0,6.0,1959,2011.0,0.0,0.0,0.0,0.0
87,158852,tomorrowland,190000000,130.311355,209154322,130.0,6.2,2846,2016.0,0.0,0.0,0.0,0.0
88,177572,big hero 6,165000000,203.73459,652105443,102.0,7.8,6135,2015.0,1.0,1.0,0.0,1.0
89,82690,wreckit ralph,165000000,62.341073,471222889,108.0,7.1,4570,2013.0,0.0,1.0,0.0,1.0
90,5255,the polar express,165000000,47.323228,305875730,100.0,6.4,1474,2005.0,0.0,3.0,0.0,1.0
91,47933,independence day resurgence,165000000,48.775723,389681935,120.0,4.9,2491,2017.0,0.0,0.0,0.0,0.0
92,10191,how to train your dragon,165000000,67.263269,494878759,98.0,7.5,4227,2011.0,0.0,2.0,0.0,1.0
93,296,terminator 3 rise of the machines,200000000,69.405188,435000000,109.0,5.9,2143,2004.0,0.0,0.0,0.0,0.0
94,118340,guardians of the galaxy,170000000,481.09862400000003,773328629,121.0,7.9,9742,2015.0,0.0,2.0,0.0,0.0
95,157336,interstellar,165000000,724.247784,675120017,169.0,8.1,10867,2015.0,1.0,5.0,0.0,1.0
96,27205,inception,160000000,167.58371,825532764,148.0,8.1,13752,2011.0,4.0,8.0,0.0,4.0
97,315011,shin godzilla,15000000,9.476999000000001,77000000,120.0,6.5,143,2017.0,0.0,0.0,0.0,0.0
98,49051,the hobbit an unexpected journey,250000000,108.849621,1021103568,169.0,7.0,8297,2013.0,0.0,3.0,0.0,0.0
99,9799,the fast and the furious,38000000,6.909942,207283925,106.0,6.6,3428,2002.0,0.0,0.0,0.0,0.0
100,4922,the curious case of benjamin button,150000000,60.269279000000004,333932083,166.0,7.3,3292,2009.0,3.0,13.0,0.0,5.0
101,49538,xmen first class,160000000,3.195174,353624124,132.0,7.1,5181,2012.0,0.0,0.0,0.0,0.0
102,131634,the hunger games mockingjay  part 2,160000000,127.28442700000001,653428261,137.0,6.6,3984,2016.0,0.0,0.0,0.0,0.0
103,27022,the sorcerers apprentice,150000000,35.580815,215283742,109.0,5.8,1470,2011.0,0.0,0.0,0.0,0.0
104,503,poseidon,160000000,21.133748,181674817,99.0,5.5,583,2007.0,0.0,1.0,0.0,0.0
105,241259,alice through the looking glass,170000000,56.268916000000004,299370084,113.0,6.5,1725,2017.0,0.0,0.0,0.0,0.0
106,810,shrek the third,160000000,42.986467,798958165,93.0,6.0,2278,2008.0,0.0,0.0,0.0,0.0
107,68735,warcraft,160000000,63.148529,433677183,123.0,6.3,2268,2017.0,0.0,0.0,0.0,0.0
108,87101,terminator genisys,155000000,202.04263500000002,440603537,126.0,5.8,3631,2016.0,0.0,0.0,0.0,0.0
109,10140,the chronicles of narnia the voyage of the dawn treader,155000000,49.661984000000004,415686217,113.0,6.2,1514,2011.0,0.0,0.0,0.0,1.0
110,676,pearl harbor,140000000,34.20669,449220945,183.0,6.6,1791,2002.0,1.0,4.0,0.0,2.0
111,1858,transformers,150000000,25.468493,709709780,144.0,6.6,4040,2008.0,0.0,3.0,0.0,0.0
112,1966,alexander,155000000,39.019228999999996,167298192,175.0,5.6,927,2005.0,0.0,0.0,0.0,0.0
113,675,harry potter and the order of the phoenix,150000000,78.14439499999999,938212738,138.0,7.4,5494,2008.0,0.0,0.0,0.0,0.0
114,674,harry potter and the goblet of fire,150000000,101.250416,895921036,157.0,7.5,5608,2006.0,0.0,1.0,0.0,0.0
115,8960,hancock,150000000,56.758410999999995,624029371,92.0,6.2,2961,2009.0,0.0,0.0,0.0,0.0
116,6479,i am legend,150000000,70.867401,585349010,101.0,6.9,4853,2008.0,0.0,0.0,0.0,0.0
117,118,charlie and the chocolate factory,150000000,53.905592000000006,474968763,115.0,6.7,3624,2006.0,0.0,1.0,0.0,1.0
118,2062,ratatouille,150000000,65.677399,623722818,111.0,7.5,4369,2008.0,1.0,5.0,1.0,1.0
119,272,batman begins,150000000,115.040024,374218673,140.0,7.5,7359,2006.0,0.0,1.0,0.0,0.0
120,10527,madagascar escape 2 africa,150000000,44.141021,603900354,89.0,6.2,1810,2009.0,0.0,0.0,0.0,0.0
121,18360,night at the museum battle of the smithsonian,150000000,81.781591,413106170,105.0,5.9,1971,2010.0,0.0,0.0,0.0,0.0
122,2080,xmen origins wolverine,150000000,5.954333999999999,373062864,107.0,6.2,4021,2010.0,0.0,0.0,0.0,0.0
123,605,the matrix revolutions,150000000,73.313918,424988211,129.0,6.4,3096,2004.0,0.0,0.0,0.0,0.0
124,109445,frozen,150000000,165.12536599999999,1274219009,102.0,7.3,5295,2014.0,2.0,2.0,1.0,2.0
125,604,the matrix reloaded,150000000,70.78591,738599701,138.0,6.7,3443,2004.0,0.0,0.0,0.0,0.0
126,76338,thor the dark world,170000000,99.499595,644571402,112.0,6.8,4755,2014.0,0.0,0.0,0.0,0.0
127,76341,mad max fury road,150000000,434.27856399999996,378858340,120.0,7.2,9427,2016.0,6.0,10.0,0.0,0.0
128,13448,angels  demons,150000000,67.447636,356613439,138.0,6.5,2129,2010.0,0.0,0.0,0.0,0.0
129,10195,thor,150000000,86.493424,449326618,115.0,6.6,6525,2012.0,0.0,0.0,0.0,0.0
130,13053,bolt,150000000,41.845878000000006,309979994,98.0,6.3,1750,2009.0,0.0,1.0,0.0,2.0
131,19585,gforce,150000000,26.710397999999998,292817841,88.0,5.1,510,2010.0,0.0,0.0,0.0,0.0
132,57165,wrath of the titans,150000000,44.927634999999995,301000000,99.0,5.5,1431,2013.0,0.0,0.0,0.0,0.0
133,62213,dark shadows,150000000,50.306728,245527149,113.0,5.7,2320,2013.0,0.0,0.0,0.0,0.0
134,177677,mission impossible  rogue nation,150000000,114.52223700000002,682330139,131.0,7.1,3224,2016.0,0.0,0.0,0.0,0.0
135,7978,the wolfman,150000000,21.214571,0,102.0,5.5,549,2011.0,1.0,1.0,0.0,0.0
136,5559,bee movie,150000000,29.332905,287594577,91.0,5.7,1171,2008.0,0.0,0.0,0.0,1.0
137,49444,kung fu panda 2,150000000,51.247321,665692281,91.0,6.7,1880,2012.0,0.0,1.0,0.0,0.0
138,10196,the last airbender,150000000,33.769335999999996,318502923,103.0,4.7,1151,2011.0,0.0,0.0,0.0,0.0
139,956,mission impossible iii,150000000,63.079003,397850012,126.0,6.5,2028,2007.0,0.0,0.0,0.0,0.0
140,117251,white house down,150000000,39.004588,205366737,131.0,6.4,1891,2014.0,0.0,0.0,0.0,0.0
141,50321,mars needs moms,150000000,12.362599000000001,38992758,88.0,5.5,199,2012.0,0.0,0.0,0.0,0.0
142,11619,flushed away,149000000,22.550135,64459316,85.0,6.0,874,2007.0,0.0,0.0,0.0,0.0
143,266647,pan,150000000,48.03528,128388320,111.0,5.9,954,2016.0,0.0,0.0,0.0,0.0
144,82703,mr peabody  sherman,145000000,38.73494,272912430,92.0,6.7,843,2015.0,0.0,0.0,0.0,0.0
145,652,troy,175000000,66.803149,497409852,163.0,6.9,2759,2005.0,0.0,1.0,0.0,0.0
146,80321,madagascar 3 europes most wanted,145000000,44.989191999999996,746921274,93.0,6.4,1808,2013.0,0.0,0.0,0.0,0.0
147,36669,die another day,140000000,54.159392000000004,431971116,133.0,5.8,1092,2003.0,0.0,0.0,0.0,1.0
148,43074,ghostbusters,144000000,66.21806,229147509,116.0,5.3,2142,2017.0,0.0,0.0,0.0,0.0
149,95,armageddon,140000000,58.485967,553799566,151.0,6.4,2482,1999.0,0.0,4.0,0.0,0.0
150,608,men in black ii,140000000,91.332849,441818803,88.0,6.0,3114,2003.0,0.0,0.0,0.0,0.0
151,2310,beowulf,70000000,35.601665000000004,195735876,115.0,5.5,841,2008.0,0.0,0.0,0.0,0.0
152,140300,kung fu panda 3,145000000,56.747978,521170825,95.0,6.7,1603,2017.0,0.0,0.0,0.0,0.0
153,56292,mission impossible  ghost protocol,145000000,77.77476999999999,694713380,133.0,6.8,3972,2012.0,0.0,0.0,0.0,0.0
154,81188,rise of the guardians,145000000,61.788035,306941670,97.0,7.1,1922,2013.0,0.0,0.0,0.0,1.0
155,7552,fun with dick and jane,100000000,25.159167999999998,202026112,90.0,5.9,627,2006.0,0.0,0.0,0.0,0.0
156,616,the last samurai,140000000,52.341226,456758981,154.0,7.3,1895,2004.0,0.0,4.0,0.0,3.0
157,147441,exodus gods and kings,140000000,101.599427,268031828,150.0,5.6,1921,2015.0,0.0,0.0,0.0,0.0
158,13475,star trek,150000000,73.61680799999999,385680446,127.0,7.4,4518,2010.0,1.0,4.0,0.0,0.0
159,557,spiderman,139000000,82.502566,821708551,121.0,6.8,5265,2003.0,0.0,2.0,0.0,0.0
160,82702,how to train your dragon 2,145000000,100.21391,609123048,102.0,7.6,3106,2015.0,0.0,1.0,1.0,1.0
161,205584,gods of egypt,140000000,56.257249,150680864,127.0,5.3,1277,2017.0,0.0,0.0,0.0,0.0
162,10048,stealth,135000000,17.88953,76932943,121.0,4.9,331,2006.0,0.0,0.0,0.0,0.0
163,13183,watchmen,130000000,64.798873,185258983,163.0,7.0,2811,2010.0,0.0,0.0,0.0,0.0
164,944,lethal weapon 4,140000000,24.855701,285444603,127.0,6.3,767,1999.0,0.0,0.0,0.0,0.0
165,1927,hulk,137000000,34.981698,245360480,138.0,5.3,1533,2004.0,0.0,0.0,0.0,0.0
166,72559,gi joe retaliation,130000000,59.325589,371876278,110.0,5.4,3025,2014.0,0.0,0.0,0.0,0.0
167,7364,sahara,130000000,21.605567999999998,119269486,124.0,5.7,434,2006.0,0.0,0.0,0.0,0.0
168,2114,final fantasy the spirits within,137000000,26.074907999999997,85131830,106.0,5.9,433,2002.0,0.0,0.0,0.0,0.0
169,1771,captain america the first avenger,140000000,74.50624599999999,370569774,124.0,6.6,7047,2012.0,0.0,0.0,0.0,0.0
170,36643,the world is not enough,135000000,39.604363,361832400,128.0,6.0,862,2000.0,0.0,0.0,0.0,0.0
171,8619,master and commander the far side of the world,150000000,36.973031,212011111,138.0,6.9,790,2004.0,2.0,10.0,0.0,3.0
172,50620,the twilight saga breaking dawn  part 2,120000000,99.687084,829000000,115.0,6.1,2553,2013.0,0.0,0.0,0.0,0.0
173,65759,happy feet two,130000000,17.7735,150406466,100.0,5.8,373,2012.0,0.0,0.0,0.0,0.0
174,1724,the incredible hulk,150000000,62.898336,163712074,114.0,6.1,3021,2009.0,0.0,0.0,0.0,0.0
175,267935,the bfg,140000000,44.19092,183345589,120.0,6.0,1000,2017.0,0.0,0.0,0.0,0.0
176,281957,the revenant,135000000,100.635882,532950503,156.0,7.3,6396,2016.0,3.0,12.0,3.0,4.0
177,77950,turbo,135000000,44.765377,282570682,96.0,6.1,1074,2014.0,0.0,0.0,0.0,0.0
178,44896,rango,135000000,29.913529999999998,245724603,107.0,6.6,2051,2012.0,1.0,1.0,0.0,1.0
179,270946,penguins of madagascar,132000000,84.366984,373552094,92.0,6.5,1346,2015.0,0.0,0.0,0.0,0.0
180,2503,the bourne ultimatum,70000000,45.381501,442824138,115.0,7.3,2888,2008.0,3.0,3.0,0.0,0.0
181,9502,kung fu panda,130000000,84.68964799999999,631744560,90.0,6.9,3145,2009.0,0.0,1.0,0.0,1.0
182,102899,antman,130000000,120.09361000000001,519311965,117.0,7.0,5880,2016.0,0.0,0.0,0.0,0.0
183,101299,the hunger games catching fire,130000000,76.310119,847423452,146.0,7.4,6495,2014.0,0.0,0.0,0.0,1.0
184,228161,home,135000000,63.473086,368871007,94.0,6.8,1519,2016.0,0.0,0.0,0.0,0.0
185,74,war of the worlds,132000000,48.572726,591739379,116.0,6.2,2322,2006.0,0.0,3.0,0.0,0.0
186,8961,bad boys ii,130000000,38.068736,273339556,147.0,6.3,1564,2004.0,0.0,0.0,0.0,0.0
187,417859,puss in boots,130000000,20.678787,554987477,90.0,6.4,451,2012.0,0.0,1.0,0.0,1.0
188,27576,salt,110000000,48.829437,293329073,100.0,6.2,2093,2011.0,0.0,1.0,0.0,0.0
189,86834,noah,125000000,46.115758,362637473,139.0,5.6,2350,2015.0,0.0,0.0,0.0,1.0
190,17578,the adventures of tintin,130000000,89.938296,371940071,107.0,6.7,2061,2012.0,0.0,1.0,1.0,1.0
191,673,harry potter and the prisoner of azkaban,130000000,79.679601,789804554,141.0,7.7,5877,2005.0,0.0,2.0,0.0,0.0
192,6972,australia,130000000,28.840996999999998,49554002,165.0,6.3,694,2009.0,0.0,1.0,0.0,0.0
193,82700,after earth,130000000,42.840582,243843127,100.0,5.0,2532,2014.0,0.0,0.0,0.0,0.0
194,10567,dinosaur,127500000,26.548594,354248063,82.0,6.2,542,2001.0,0.0,0.0,0.0,0.0
195,181533,night at the museum secret of the tomb,127000000,115.597753,349424282,97.0,6.1,1851,2015.0,0.0,0.0,0.0,0.0
196,38055,megamind,130000000,68.757242,321887208,95.0,6.7,1918,2011.0,0.0,0.0,0.0,0.0
197,671,harry potter and the philosophers stone,125000000,109.984351,976475550,152.0,7.5,7006,2002.0,0.0,0.0,0.0,0.0
198,49524,ripd,130000000,39.448066,61648500,96.0,5.4,1260,2014.0,0.0,0.0,0.0,0.0
199,22,pirates of the caribbean the curse of the black pearl,140000000,271.972889,655011224,143.0,7.5,6985,2004.0,0.0,5.0,0.0,1.0
200,131631,the hunger games mockingjay  part 1,125000000,206.227151,752100229,123.0,6.6,5584,2015.0,0.0,0.0,0.0,1.0
201,591,the da vinci code,125000000,45.313196999999995,767820459,149.0,6.5,2704,2007.0,0.0,0.0,0.0,1.0
202,172385,rio 2,103000000,42.400240000000004,500188435,102.0,6.3,978,2015.0,0.0,0.0,0.0,0.0
203,36658,x2,110000000,2.871739,407711549,133.0,6.8,3506,2004.0,0.0,0.0,0.0,0.0
204,51497,fast five,125000000,7.255717999999999,626137675,130.0,7.1,2438,2012.0,0.0,0.0,0.0,0.0
205,58574,sherlock holmes a game of shadows,125000000,81.49962099999999,334615000,129.0,7.0,3886,2012.0,0.0,0.0,0.0,0.0
206,18823,clash of the titans,125000000,47.686442,232713139,106.0,5.6,2233,2011.0,0.0,0.0,0.0,0.0
207,861,total recall,65000000,43.129703000000006,261317921,113.0,7.1,1710,1991.0,0.0,2.0,0.0,0.0
208,1911,the 13th warrior,160000000,27.220157,61698899,102.0,6.4,510,2000.0,0.0,0.0,0.0,0.0
209,49040,the bourne legacy,130000000,90.33681,276572938,120.0,6.0,2651,2013.0,0.0,0.0,0.0,0.0
210,415,batman  robin,125000000,50.073575,238207122,125.0,4.2,1418,1998.0,0.0,0.0,0.0,0.0
211,8871,how the grinch stole christmas,123000000,45.419668,345141403,104.0,6.2,1386,2001.0,0.0,0.0,0.0,0.0
212,435,the day after tomorrow,125000000,41.380094,544272402,124.0,6.2,2392,2005.0,0.0,0.0,0.0,0.0
213,955,mission impossible ii,125000000,54.931334,546388105,123.0,5.9,1928,2001.0,0.0,0.0,0.0,0.0
214,2133,the perfect storm,120000000,25.752118,325756637,130.0,6.2,597,2001.0,0.0,2.0,0.0,0.0
215,1979,fantastic 4 rise of the silver surfer,130000000,60.810722999999996,289047763,92.0,5.4,2589,2008.0,0.0,0.0,0.0,0.0
216,87827,life of pi,120000000,51.328145,609016565,127.0,7.2,5797,2013.0,4.0,11.0,1.0,3.0
217,1250,ghost rider,110000000,46.834703999999995,228738393,114.0,5.2,1712,2008.0,0.0,0.0,0.0,0.0
218,324668,jason bourne,120000000,62.641286,415484914,123.0,5.9,2341,2017.0,0.0,0.0,0.0,0.0
219,9471,charlies angels full throttle,120000000,33.616115,259175788,106.0,5.2,914,2004.0,0.0,0.0,0.0,0.0
220,70981,prometheus,130000000,68.889395,403170142,124.0,6.3,5080,2013.0,0.0,1.0,0.0,0.0
221,10996,stuart little 2,120000000,27.990284000000003,169956806,78.0,5.4,613,2003.0,0.0,0.0,0.0,0.0
222,68724,elysium,115000000,67.33766999999999,286140700,109.0,6.4,3439,2014.0,0.0,0.0,0.0,0.0
223,2789,the chronicles of riddick,105000000,27.835435999999998,115772733,119.0,6.3,1570,2005.0,0.0,0.0,0.0,0.0
224,97020,robocop,120000000,66.757869,242688965,102.0,5.7,2342,2015.0,0.0,0.0,0.0,0.0
225,7459,speed racer,120000000,17.060695000000003,93945766,135.0,5.7,354,2009.0,0.0,0.0,0.0,0.0
226,42888,how do you know,120000000,11.137655,48668907,121.0,4.9,223,2011.0,0.0,0.0,0.0,0.0
227,37834,knight and day,117000000,44.906918,261930431,109.0,5.9,1547,2011.0,0.0,0.0,0.0,0.0
228,75612,oblivion,120000000,67.698004,286168572,124.0,6.4,4800,2014.0,0.0,0.0,0.0,0.0
229,1895,star wars episode iii  revenge of the sith,113000000,44.108427,850000000,140.0,7.1,4116,2006.0,0.0,0.0,0.0,0.0
230,1894,star wars episode ii  attack of the clones,120000000,43.987061,649398328,142.0,6.4,3992,2003.0,0.0,0.0,0.0,0.0
231,585,monsters inc,115000000,106.815545,562816256,92.0,7.5,5996,2002.0,1.0,4.0,0.0,0.0
232,76170,the wolverine,120000000,15.953444000000001,415440673,126.0,6.3,4053,2014.0,0.0,0.0,0.0,0.0
233,1893,star wars episode i  the phantom menace,115000000,54.035265,924317558,136.0,6.3,4432,2000.0,0.0,0.0,0.0,0.0
234,49519,the croods,135000000,64.18332099999999,585178928,98.0,6.8,2399,2014.0,0.0,1.0,0.0,1.0
235,2395,asterix at the olympic games,97250400,20.344364000000002,132900000,116.0,5.0,471,2009.0,0.0,0.0,0.0,0.0
236,12100,windtalkers,115000000,18.714197,77628265,134.0,5.8,341,2003.0,0.0,0.0,0.0,0.0
