,title,budget,popularity,revenue,runtime,vote_average,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
32,alice in wonderland,200000000,78.530105,1025491110,108.0,6.4,4645,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
33,xmen the last stand,210000000,3.857526,459359555,104.0,6.3,3525,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
34,monsters university,200000000,89.186492,743559607,104.0,7.0,3528,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,transformers revenge of the fallen,150000000,21.939663,836297228,150.0,6.0,3138,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,transformers age of extinction,210000000,116.840296,1091405097,165.0,5.8,3095,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,oz the great and powerful,200000000,46.985445,491868548,130.0,5.7,3530,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
38,the amazing spiderman 2,200000000,89.270217,705717432,142.0,6.5,4179,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,tron legacy,170000000,73.79505,400062763,125.0,6.3,2841,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,cars 2,200000000,49.98659,559852396,106.0,5.8,2033,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,green lantern,200000000,51.872839,219851172,114.0,5.1,2487,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
42,toy story 3,200000000,59.99541800000001,1066969703,103.0,7.6,4597,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,terminator salvation,200000000,71.862892,371353001,115.0,5.9,2463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
44,furious 7,190000000,102.32221700000001,1506249360,137.0,7.3,4176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,world war z,200000000,81.834855,531865000,116.0,6.7,5560,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
46,xmen days of future past,250000000,118.07869099999999,747862775,131.0,7.5,6032,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
47,star trek into darkness,190000000,78.29101800000001,467365246,132.0,7.4,4418,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,jack the giant slayer,195000000,43.349855,197687603,114.0,5.5,2598,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
49,the great gatsby,105000000,61.196070999999996,351040419,143.0,7.3,3769,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
50,prince of persia the sands of time,150000000,62.169881000000004,335154643,116.0,6.2,2317,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
51,pacific rim,180000000,56.523205000000004,407602906,131.0,6.7,4794,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,transformers dark of the moon,195000000,28.529607000000002,1123746996,154.0,6.1,3299,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,indiana jones and the kingdom of the crystal skull,185000000,75.674458,786636033,122.0,5.7,2495,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,the good dinosaur,175000000,51.692953,331926147,93.0,6.6,1736,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,brave,185000000,125.114374,538983207,93.0,6.7,4641,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
56,star trek beyond,185000000,65.352913,343471816,122.0,6.6,2568,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57,wall·e,180000000,66.390712,521311860,98.0,7.8,6296,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,rush hour 3,140000000,22.57178,258022233,91.0,6.1,783,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,2012,200000000,45.274225,769653595,158.0,5.6,4903,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,a christmas carol,200000000,39.744242,325233863,96.0,6.6,1095,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,jupiter ascending,176000003,85.36908000000001,183987723,124.0,5.2,2768,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
62,the legend of tarzan,180000000,42.741719,356743061,109.0,5.5,2430,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,the chronicles of narnia the lion the witch and the wardrobe,180000000,67.391328,748806957,143.0,6.7,2629,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
64,xmen apocalypse,178000000,139.272042,543934787,144.0,6.4,4721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,the dark knight,185000000,187.322927,1004558444,152.0,8.2,12002,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
66,up,175000000,92.201962,735099082,96.0,7.7,6870,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,monsters vs aliens,175000000,36.167578000000006,381509870,94.0,6.0,1423,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
68,iron man,140000000,120.725053,585174222,126.0,7.4,8776,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,hugo,170000000,32.319043,185770160,126.0,7.0,2141,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
70,wild wild west,170000000,40.748915000000004,222104681,106.0,5.1,1020,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
71,the mummy tomb of the dragon emperor,145000000,60.034162,401128639,112.0,5.2,1387,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,suicide squad,175000000,90.23791999999999,745000000,123.0,5.9,7458,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
73,evan almighty,175000000,27.082182,173000000,96.0,5.3,1151,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
74,edge of tomorrow,178000000,79.456485,370541256,113.0,7.6,4858,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75,waterworld,175000000,44.640291999999995,264218220,135.0,5.9,992,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,gi joe the rise of cobra,175000000,32.852443,302469017,118.0,5.6,1962,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
77,inside out,175000000,128.65596399999998,857611174,94.0,8.0,6560,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
78,the jungle book,175000000,94.19931600000001,966550600,106.0,6.7,2892,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
79,iron man 2,200000000,77.30019399999999,623933331,124.0,6.6,6849,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80,snow white and the huntsman,170000000,77.178973,396600000,127.0,5.8,3118,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
81,maleficent,180000000,110.62064699999999,758539785,97.0,7.0,4496,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
82,dawn of the planet of the apes,170000000,243.79174300000003,710644566,130.0,7.3,4410,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
83,the lovers,27000000,2.418535,0,109.0,4.8,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
84,47 ronin,175000000,41.796339,150962475,119.0,5.9,1326,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
85,captain america the winter soldier,170000000,72.22526500000001,714766572,136.0,7.6,5764,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
86,shrek forever after,165000000,44.041185999999996,752600867,93.0,6.0,1959,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
87,tomorrowland,190000000,130.311355,209154322,130.0,6.2,2846,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
88,big hero 6,165000000,203.73459,652105443,102.0,7.8,6135,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
89,wreckit ralph,165000000,62.341073,471222889,108.0,7.1,4570,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,the polar express,165000000,47.323228,305875730,100.0,6.4,1474,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
91,independence day resurgence,165000000,48.775723,389681935,120.0,4.9,2491,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,how to train your dragon,165000000,67.263269,494878759,98.0,7.5,4227,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
93,terminator 3 rise of the machines,200000000,69.405188,435000000,109.0,5.9,2143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
94,guardians of the galaxy,170000000,481.09862400000003,773328629,121.0,7.9,9742,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95,interstellar,165000000,724.247784,675120017,169.0,8.1,10867,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
96,inception,160000000,167.58371,825532764,148.0,8.1,13752,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
97,shin godzilla,15000000,9.476999000000001,77000000,120.0,6.5,143,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
98,the hobbit an unexpected journey,250000000,108.849621,1021103568,169.0,7.0,8297,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99,the fast and the furious,38000000,6.909942,207283925,106.0,6.6,3428,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100,the curious case of benjamin button,150000000,60.269279000000004,333932083,166.0,7.3,3292,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0
101,xmen first class,160000000,3.195174,353624124,132.0,7.1,5181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
102,the hunger games mockingjay  part 2,160000000,127.28442700000001,653428261,137.0,6.6,3984,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103,the sorcerers apprentice,150000000,35.580815,215283742,109.0,5.8,1470,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
104,poseidon,160000000,21.133748,181674817,99.0,5.5,583,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
105,alice through the looking glass,170000000,56.268916000000004,299370084,113.0,6.5,1725,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,shrek the third,160000000,42.986467,798958165,93.0,6.0,2278,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
107,warcraft,160000000,63.148529,433677183,123.0,6.3,2268,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,terminator genisys,155000000,202.04263500000002,440603537,126.0,5.8,3631,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
109,the chronicles of narnia the voyage of the dawn treader,155000000,49.661984000000004,415686217,113.0,6.2,1514,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
110,pearl harbor,140000000,34.20669,449220945,183.0,6.6,1791,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
111,transformers,150000000,25.468493,709709780,144.0,6.6,4040,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
112,alexander,155000000,39.019228999999996,167298192,175.0,5.6,927,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
113,harry potter and the order of the phoenix,150000000,78.14439499999999,938212738,138.0,7.4,5494,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
114,harry potter and the goblet of fire,150000000,101.250416,895921036,157.0,7.5,5608,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
115,hancock,150000000,56.758410999999995,624029371,92.0,6.2,2961,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116,i am legend,150000000,70.867401,585349010,101.0,6.9,4853,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
117,charlie and the chocolate factory,150000000,53.905592000000006,474968763,115.0,6.7,3624,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
118,ratatouille,150000000,65.677399,623722818,111.0,7.5,4369,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
119,batman begins,150000000,115.040024,374218673,140.0,7.5,7359,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,madagascar escape 2 africa,150000000,44.141021,603900354,89.0,6.2,1810,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
121,night at the museum battle of the smithsonian,150000000,81.781591,413106170,105.0,5.9,1971,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
122,xmen origins wolverine,150000000,5.954333999999999,373062864,107.0,6.2,4021,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
123,the matrix revolutions,150000000,73.313918,424988211,129.0,6.4,3096,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
124,frozen,150000000,165.12536599999999,1274219009,102.0,7.3,5295,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,the matrix reloaded,150000000,70.78591,738599701,138.0,6.7,3443,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
126,thor the dark world,170000000,99.499595,644571402,112.0,6.8,4755,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
127,mad max fury road,150000000,434.27856399999996,378858340,120.0,7.2,9427,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
128,angels  demons,150000000,67.447636,356613439,138.0,6.5,2129,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
129,thor,150000000,86.493424,449326618,115.0,6.6,6525,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,bolt,150000000,41.845878000000006,309979994,98.0,6.3,1750,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131,gforce,150000000,26.710397999999998,292817841,88.0,5.1,510,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
132,wrath of the titans,150000000,44.927634999999995,301000000,99.0,5.5,1431,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,dark shadows,150000000,50.306728,245527149,113.0,5.7,2320,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,mission impossible  rogue nation,150000000,114.52223700000002,682330139,131.0,7.1,3224,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
135,the wolfman,150000000,21.214571,0,102.0,5.5,549,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
136,bee movie,150000000,29.332905,287594577,91.0,5.7,1171,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
137,kung fu panda 2,150000000,51.247321,665692281,91.0,6.7,1880,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
138,the last airbender,150000000,33.769335999999996,318502923,103.0,4.7,1151,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
139,mission impossible iii,150000000,63.079003,397850012,126.0,6.5,2028,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
140,white house down,150000000,39.004588,205366737,131.0,6.4,1891,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
141,mars needs moms,150000000,12.362599000000001,38992758,88.0,5.5,199,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
142,flushed away,149000000,22.550135,64459316,85.0,6.0,874,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
143,pan,150000000,48.03528,128388320,111.0,5.9,954,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
144,mr peabody  sherman,145000000,38.73494,272912430,92.0,6.7,843,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
145,troy,175000000,66.803149,497409852,163.0,6.9,2759,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
146,madagascar 3 europes most wanted,145000000,44.989191999999996,746921274,93.0,6.4,1808,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
147,die another day,140000000,54.159392000000004,431971116,133.0,5.8,1092,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
148,ghostbusters,144000000,66.21806,229147509,116.0,5.3,2142,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
149,armageddon,140000000,58.485967,553799566,151.0,6.4,2482,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
150,men in black ii,140000000,91.332849,441818803,88.0,6.0,3114,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
151,beowulf,70000000,35.601665000000004,195735876,115.0,5.5,841,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,kung fu panda 3,145000000,56.747978,521170825,95.0,6.7,1603,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
153,mission impossible  ghost protocol,145000000,77.77476999999999,694713380,133.0,6.8,3972,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
154,rise of the guardians,145000000,61.788035,306941670,97.0,7.1,1922,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
155,fun with dick and jane,100000000,25.159167999999998,202026112,90.0,5.9,627,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,the last samurai,140000000,52.341226,456758981,154.0,7.3,1895,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
157,exodus gods and kings,140000000,101.599427,268031828,150.0,5.6,1921,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
158,star trek,150000000,73.61680799999999,385680446,127.0,7.4,4518,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
159,spiderman,139000000,82.502566,821708551,121.0,6.8,5265,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
160,how to train your dragon 2,145000000,100.21391,609123048,102.0,7.6,3106,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
161,gods of egypt,140000000,56.257249,150680864,127.0,5.3,1277,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
162,stealth,135000000,17.88953,76932943,121.0,4.9,331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,watchmen,130000000,64.798873,185258983,163.0,7.0,2811,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
164,lethal weapon 4,140000000,24.855701,285444603,127.0,6.3,767,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
165,hulk,137000000,34.981698,245360480,138.0,5.3,1533,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
166,gi joe retaliation,130000000,59.325589,371876278,110.0,5.4,3025,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
167,sahara,130000000,21.605567999999998,119269486,124.0,5.7,434,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
168,final fantasy the spirits within,137000000,26.074907999999997,85131830,106.0,5.9,433,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
169,captain america the first avenger,140000000,74.50624599999999,370569774,124.0,6.6,7047,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
170,the world is not enough,135000000,39.604363,361832400,128.0,6.0,862,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
171,master and commander the far side of the world,150000000,36.973031,212011111,138.0,6.9,790,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,the twilight saga breaking dawn  part 2,120000000,99.687084,829000000,115.0,6.1,2553,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
173,happy feet two,130000000,17.7735,150406466,100.0,5.8,373,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
174,the incredible hulk,150000000,62.898336,163712074,114.0,6.1,3021,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
175,the bfg,140000000,44.19092,183345589,120.0,6.0,1000,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
176,the revenant,135000000,100.635882,532950503,156.0,7.3,6396,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
177,turbo,135000000,44.765377,282570682,96.0,6.1,1074,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
178,rango,135000000,29.913529999999998,245724603,107.0,6.6,2051,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
179,penguins of madagascar,132000000,84.366984,373552094,92.0,6.5,1346,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
180,the bourne ultimatum,70000000,45.381501,442824138,115.0,7.3,2888,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
181,kung fu panda,130000000,84.68964799999999,631744560,90.0,6.9,3145,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
182,antman,130000000,120.09361000000001,519311965,117.0,7.0,5880,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
183,the hunger games catching fire,130000000,76.310119,847423452,146.0,7.4,6495,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
